PDGNAME,EVTGENNAME
d,d
d~,anti-d
u,u
u~,anti-u
s,s
s~,anti-s
c,c
c~,anti-c
b,b
b~,anti-b
t,t
t~,anti-t
e-,e-
e+,e+
nu(e),nu_e
nu(e)~,anti-nu_e
mu-,mu-
mu+,mu+
nu(mu)~,anti-nu_mu
nu(mu),nu_mu
tau-,tau-
tau+,tau+
nu(tau),nu_tau
nu(tau)~,anti-nu_tau
g,g
gamma,gamma
Z0,Z0
W+,W+
W-,W-
H0,Higgs0
pi0,pi0
rho(770)0,rho0
a(2)(1320)0,a_20
rho(3)(1690)0,rho_3(1690)0
a(4)(1970)0,a_4(1970)0
K(L)0,K_L0
pi-,pi-
pi+,pi+
rho(770)+,rho+
rho(770)-,rho-
a(2)(1320)-,a_2-
a(2)(1320)+,a_2+
rho(3)(1690)-,rho_3(1690)-
rho(3)(1690)+,rho_3(1690)+
a(4)(1970)+,a_4(1970)+
a(4)(1970)-,a_4(1970)-
eta,eta
omega(782),omega
f(2)(1270),f_2
omega(3)(1670),omega_3(1670)
f(4)(2050),f_4(2050)
K(S)0,K_S0
K0,K0
K~0,anti-K0
K*(892)0,K*0
K*(892)~0,anti-K*0
K(2)*(1430)~0,anti-K_2*0
K(2)*(1430)0,K_2*0
K(3)*(1780)0,K_3*0
K(3)*(1780)~0,anti-K_3*0
K(4)*(2045)0,K_4*0
K(4)*(2045)~0,anti-K_4*0
K-,K-
K+,K+
K*(892)+,K*+
K*(892)-,K*-
K(2)*(1430)-,K_2*-
K(2)*(1430)+,K_2*+
K(3)*(1780)+,K_3*+
K(3)*(1780)-,K_3*-
K(4)*(2045)-,K_4*-
K(4)*(2045)+,K_4*+
eta'(958),eta'
phi(1020),phi
f(2)'(1525),f'_2
phi(3)(1850),phi_3(1850)
D-,D-
D+,D+
D*(2010)+,D*+
D*(2010)-,D*-
D(2)*(2460)+,D_2*+
D(2)*(2460)-,D_2*-
D~0,anti-D0
D0,D0
D*(2007)~0,anti-D*0
D*(2007)0,D*0
D(2)*(2460)0,D_2*0
D(2)*(2460)~0,anti-D_2*0
D(s)-,D_s-
D(s)+,D_s+
D(s)*-,D_s*-
D(s)*+,D_s*+
D(s2)*(2573)+,D_s2*+
D(s2)*(2573)-,D_s2*-
eta(c)(1S),eta_c
J/psi(1S),J/psi
chi(c2)(1P),chi_c2
B~0,anti-B0
B0,B0
B*~0,anti-B*0
B*0,B*0
B(2)*(5747)0,B_2*0
B(2)*(5747)~0,anti-B_2*0
B+,B+
B-,B-
B*-,B*-
B*+,B*+
B(2)*(5747)-,B_2*-
B(2)*(5747)+,B_2*+
B(s)~0,anti-B_s0
B(s)0,B_s0
B(s)*~0,anti-B_s*0
B(s)*0,B_s*0
B(s2)*(5840)~0,anti-B_s2*0
B(s2)*(5840)0,B_s2*0
B(c)-,B_c-
B(c)+,B_c+
Upsilon(1S),Upsilon
chi(b2)(1P),chi_b2
Delta(1620)-,Delta(1620)-
Delta(1620)~+,anti-Delta(1620)+
Delta(1232)~+,anti-Delta+
Delta(1232)-,Delta-
Delta(1905)-,Delta(1905)-
Delta(1905)~+,anti-Delta(1905)+
Delta(1950)~+,anti-Delta(1950)+
Delta(1950)-,Delta(1950)-
Delta(1620)~0,anti-Delta(1620)0
Delta(1620)0,Delta(1620)0
N(1520)~0,anti-N(1520)0
N(1520)0,N(1520)0
Delta(1905)0,Delta(1905)0
Delta(1905)~0,anti-Delta(1905)0
N(2190)~0,anti-N(2190)0
N(2190)0,N(2190)0
n,n0
n~,anti-n0
Delta(1232)0,Delta0
Delta(1232)~0,anti-Delta0
N(1675)~0,anti-N(1675)0
N(1675)0,N(1675)0
Delta(1950)~0,anti-Delta(1950)0
Delta(1950)0,Delta(1950)0
Delta(1620)~-,anti-Delta(1620)-
Delta(1620)+,Delta(1620)+
N(1520)+,N(1520)+
N(1520)~-,anti-N(1520)-
Delta(1905)+,Delta(1905)+
Delta(1905)~-,anti-Delta(1905)-
N(2190)+,N(2190)+
N(2190)~-,anti-N(2190)-
p,p+
p~,anti-p-
Delta(1232)+,Delta+
Delta(1232)~-,anti-Delta-
N(1675)+,N(1675)+
N(1675)~-,anti-N(1675)-
Delta(1950)+,Delta(1950)+
Delta(1950)~-,anti-Delta(1950)-
Delta(1620)++,Delta(1620)++
Delta(1620)~--,anti-Delta(1620)--
Delta(1232)++,Delta++
Delta(1232)~--,anti-Delta--
Delta(1905)~--,anti-Delta(1905)--
Delta(1905)++,Delta(1905)++
Delta(1950)++,Delta(1950)++
Delta(1950)~--,anti-Delta(1950)--
Sigma~+,anti-Sigma+
Sigma-,Sigma-
Sigma(1385)-,Sigma*-
Sigma(1385)~+,anti-Sigma*+
Sigma(1775)-,Sigma(1775)-
Sigma(1775)~+,anti-Sigma(1775)+
Sigma(2030)~+,anti-Sigma(2030)+
Sigma(2030)-,Sigma(2030)-
Lambda,Lambda0
Lambda~,anti-Lambda0
Lambda(1520)~,anti-Lambda(1520)0
Lambda(1520),Lambda(1520)0
Lambda(1820),Lambda(1820)0
Lambda(1820)~,anti-Lambda(1820)0
Lambda(2100),Lambda(2100)0
Lambda(2100)~,anti-Lambda(2100)0
Sigma~0,anti-Sigma0
Sigma0,Sigma0
Sigma(1385)0,Sigma*0
Sigma(1385)~0,anti-Sigma*0
Sigma(1775)~0,anti-Sigma(1775)0
Sigma(1775)0,Sigma(1775)0
Sigma(2030)~0,anti-Sigma(2030)0
Sigma(2030)0,Sigma(2030)0
Sigma~-,anti-Sigma-
Sigma+,Sigma+
Sigma(1385)~-,anti-Sigma*-
Sigma(1385)+,Sigma*+
Sigma(1775)+,Sigma(1775)+
Sigma(1775)~-,anti-Sigma(1775)-
Sigma(2030)~-,anti-Sigma(2030)-
Sigma(2030)+,Sigma(2030)+
Xi-,Xi-
Xi~+,anti-Xi+
Xi(1530)-,Xi*-
Xi(1530)~+,anti-Xi*+
Xi0,Xi0
Xi~0,anti-Xi0
Xi(1530)~0,anti-Xi*0
Xi(1530)0,Xi*0
Omega~+,anti-Omega+
Omega-,Omega-
Sigma(c)(2455)~0,anti-Sigma_c0
Sigma(c)(2455)0,Sigma_c0
Sigma(c)(2520)0,Sigma_c*0
Sigma(c)(2520)~0,anti-Sigma_c*0
Lambda(c)~-,anti-Lambda_c-
Lambda(c)+,Lambda_c+
Xi(c)~0,anti-Xi_c0
Xi(c)0,Xi_c0
Sigma(c)(2455)~-,anti-Sigma_c-
Sigma(c)(2455)+,Sigma_c+
Sigma(c)(2520)+,Sigma_c*+
Sigma(c)(2520)~-,anti-Sigma_c*-
Sigma(c)(2455)~--,anti-Sigma_c--
Sigma(c)(2455)++,Sigma_c++
Sigma(c)(2520)++,Sigma_c*++
Sigma(c)(2520)~--,anti-Sigma_c*--
Xi(c)+,Xi_c+
Xi(c)~-,anti-Xi_c-
Xi(c)'~0,anti-Xi'_c0
Xi(c)'0,Xi'_c0
Xi(c)(2645)0,Xi_c*0
Xi(c)(2645)~0,anti-Xi_c*0
Xi(c)'~-,anti-Xi'_c-
Xi(c)'+,Xi'_c+
Xi(c)(2645)+,Xi_c*+
Xi(c)(2645)~-,anti-Xi_c*-
Omega(c)~0,anti-Omega_c0
Omega(c)0,Omega_c0
Omega(c)(2770)~0,anti-Omega_c*0
Omega(c)(2770)0,Omega_c*0
Sigma(b)-,Sigma_b-
Sigma(b)~+,anti-Sigma_b+
Sigma(b)*-,Sigma_b*-
Sigma(b)*~+,anti-Sigma_b*+
Lambda(b)~0,anti-Lambda_b0
Lambda(b)0,Lambda_b0
Xi(b)~+,anti-Xi_b+
Xi(b)-,Xi_b-
Sigma(b)+,Sigma_b+
Sigma(b)~-,anti-Sigma_b-
Sigma(b)*~-,anti-Sigma_b*-
Sigma(b)*+,Sigma_b*+
Xi(b)~0,anti-Xi_b0
Xi(b)0,Xi_b0
Omega(b)-,Omega_b-
Omega(b)~+,anti-Omega_b+
a(0)(1450)0,a_0(1450)0
b(1)(1235)0,b_10
pi(2)(1670)0,pi_2(1670)0
a(0)(1450)-,a_0(1450)-
a(0)(1450)+,a_0(1450)+
b(1)(1235)-,b_1-
b(1)(1235)+,b_1+
pi(2)(1670)+,pi_2(1670)+
pi(2)(1670)-,pi_2(1670)-
f(0)(1370),f'_0
h(1)(1170),h_1
eta(2)(1645),eta_2(1645)
K(0)*(1430)0,K_0*0
K(0)*(1430)~0,anti-K_0*0
K(1)(1270)0,K_10
K(1)(1270)~0,anti-K_10
K(2)(1770)~0,anti-K_2(1770)0
K(2)(1770)0,K_2(1770)0
K(0)*(1430)+,K_0*+
K(0)*(1430)-,K_0*-
K(1)(1270)+,K_1+
K(1)(1270)-,K_1-
K(2)(1770)+,K_2(1770)+
K(2)(1770)-,K_2(1770)-
f(0)(1710),f_0(1710)
h(1)(1415),h'_1
D(0)*(2300)-,D_0*-
D(0)*(2300)+,D_0*+
D(0)*(2300)~0,anti-D_0*0
D(0)*(2300)0,D_0*0
D(1)(2420)0,D_10
D(1)(2420)~0,anti-D_10
D(s0)*(2317)-,D_s0*-
D(s0)*(2317)+,D_s0*+
D(s1)(2536)+,D'_s1+
D(s1)(2536)-,D'_s1-
chi(c0)(1P),chi_c0
h(c)(1P),h_c
chi(b0)(1P),chi_b0
h(b)(1P),h_b
Delta(1900)-,Delta(1900)-
Delta(1900)~+,anti-Delta(1900)+
Delta(1700)-,Delta(1700)-
Delta(1700)~+,anti-Delta(1700)+
Delta(1930)-,Delta(1930)-
Delta(1930)~+,anti-Delta(1930)+
Delta(1900)~0,anti-Delta(1900)0
Delta(1900)0,Delta(1900)0
Delta(1930)0,Delta(1930)0
Delta(1930)~0,anti-Delta(1930)0
N(1440)0,N(1440)0
N(1440)~0,anti-N(1440)0
Delta(1700)~0,anti-Delta(1700)0
Delta(1700)0,Delta(1700)0
N(1680)~0,anti-N(1680)0
N(1680)0,N(1680)0
Delta(1900)+,Delta(1900)+
Delta(1900)~-,anti-Delta(1900)-
Delta(1930)~-,anti-Delta(1930)-
Delta(1930)+,Delta(1930)+
N(1440)+,N(1440)+
N(1440)~-,anti-N(1440)-
Delta(1700)~-,anti-Delta(1700)-
Delta(1700)+,Delta(1700)+
N(1680)~-,anti-N(1680)-
N(1680)+,N(1680)+
Delta(1900)++,Delta(1900)++
Delta(1900)~--,anti-Delta(1900)--
Delta(1700)~--,anti-Delta(1700)--
Delta(1700)++,Delta(1700)++
Delta(1930)~--,anti-Delta(1930)--
Delta(1930)++,Delta(1930)++
Sigma(1660)-,Sigma(1660)-
Sigma(1660)~+,anti-Sigma(1660)+
Sigma(1670)-,Sigma(1670)-
Sigma(1670)~+,anti-Sigma(1670)+
Sigma(1915)~+,anti-Sigma(1915)+
Sigma(1915)-,Sigma(1915)-
Lambda(1405),Lambda(1405)0
Lambda(1405)~,anti-Lambda(1405)0
Lambda(1690),Lambda(1690)0
Lambda(1690)~,anti-Lambda(1690)0
Lambda(1830),Lambda(1830)0
Lambda(1830)~,anti-Lambda(1830)0
Sigma(1660)~0,anti-Sigma(1660)0
Sigma(1660)0,Sigma(1660)0
Sigma(1670)~0,anti-Sigma(1670)0
Sigma(1670)0,Sigma(1670)0
Sigma(1915)0,Sigma(1915)0
Sigma(1915)~0,anti-Sigma(1915)0
Sigma(1660)~-,anti-Sigma(1660)-
Sigma(1660)+,Sigma(1660)+
Sigma(1670)+,Sigma(1670)+
Sigma(1670)~-,anti-Sigma(1670)-
Sigma(1915)+,Sigma(1915)+
Sigma(1915)~-,anti-Sigma(1915)-
Xi(1820)-,Xi(1820)-
Xi(1820)~+,anti-Xi(1820)+
Xi(1820)~0,anti-Xi(1820)0
Xi(1820)0,Xi(1820)0
Lambda(c)(2595)~-,anti-Lambda_c(2593)-
Lambda(c)(2595)+,Lambda_c(2593)+
a(1)(1260)0,a_10
a(1)(1260)-,a_1-
a(1)(1260)+,a_1+
f(1)(1285),f_1
K(1)(1400)0,K'_10
K(1)(1400)~0,anti-K'_10
K(2)(1820)~0,anti-K_2(1820)0
K(2)(1820)0,K_2(1820)0
K(1)(1400)-,K'_1-
K(1)(1400)+,K'_1+
K(2)(1820)+,K_2(1820)+
K(2)(1820)-,K_2(1820)-
f(1)(1420),f'_1
D(s1)(2460)+,D_s1+
D(s1)(2460)-,D_s1-
chi(c1)(1P),chi_c1
chi(b1)(1P),chi_b1
Upsilon(2)(1D),Upsilon_2(1D)
Delta(1910)-,Delta(1910)-
Delta(1910)~+,anti-Delta(1910)+
Delta(1920)-,Delta(1920)-
Delta(1920)~+,anti-Delta(1920)+
Delta(1910)~0,anti-Delta(1910)0
Delta(1910)0,Delta(1910)0
N(1700)0,N(1700)0
N(1700)~0,anti-N(1700)0
N(1535)~0,anti-N(1535)0
N(1535)0,N(1535)0
Delta(1920)~0,anti-Delta(1920)0
Delta(1920)0,Delta(1920)0
Delta(1910)+,Delta(1910)+
Delta(1910)~-,anti-Delta(1910)-
N(1700)+,N(1700)+
N(1700)~-,anti-N(1700)-
N(1535)+,N(1535)+
N(1535)~-,anti-N(1535)-
Delta(1920)+,Delta(1920)+
Delta(1920)~-,anti-Delta(1920)-
Delta(1910)++,Delta(1910)++
Delta(1910)~--,anti-Delta(1910)--
Delta(1920)++,Delta(1920)++
Delta(1920)~--,anti-Delta(1920)--
Sigma(1750)~+,anti-Sigma(1750)+
Sigma(1750)-,Sigma(1750)-
Sigma(1940)-,Sigma(1940)-
Sigma(1940)~+,anti-Sigma(1940)+
Lambda(1600)~,anti-Lambda(1600)0
Lambda(1600),Lambda(1600)0
Lambda(1890)~,anti-Lambda(1890)0
Lambda(1890),Lambda(1890)0
Lambda(2110),Lambda(2110)0
Lambda(2110)~,anti-Lambda(2110)0
Sigma(1750)0,Sigma(1750)0
Sigma(1750)~0,anti-Sigma(1750)0
Sigma(1940)~0,anti-Sigma(1940)0
Sigma(1940)0,Sigma(1940)0
Sigma(1750)+,Sigma(1750)+
Sigma(1750)~-,anti-Sigma(1750)-
Sigma(1940)+,Sigma(1940)+
Sigma(1940)~-,anti-Sigma(1940)-
rho(1700)0,rho(3S)0
rho(1700)-,rho(3S)-
rho(1700)+,rho(3S)+
omega(1650),omega(1650)
K*(1680)~0,anti-K''*0
K*(1680)0,K''*0
K*(1680)-,K''*-
K*(1680)+,K''*+
psi(3770),psi(3770)
Delta(1600)-,Delta(1600)-
Delta(1600)~+,anti-Delta(1600)+
N(1720)0,N(1720)0
N(1720)~0,anti-N(1720)0
N(1650)~0,anti-N(1650)0
N(1650)0,N(1650)0
Delta(1600)~0,anti-Delta(1600)0
Delta(1600)0,Delta(1600)0
N(1720)+,N(1720)+
N(1720)~-,anti-N(1720)-
N(1650)~-,anti-N(1650)-
N(1650)+,N(1650)+
Delta(1600)~-,anti-Delta(1600)-
Delta(1600)+,Delta(1600)+
Delta(1600)~--,anti-Delta(1600)--
Delta(1600)++,Delta(1600)++
Lambda(1670),Lambda(1670)0
Lambda(1670)~,anti-Lambda(1670)0
N(1710)~0,anti-N(1710)0
N(1710)0,N(1710)0
N(1710)+,N(1710)+
N(1710)~-,anti-N(1710)-
Lambda(1800)~,anti-Lambda(1800)0
Lambda(1800),Lambda(1800)0
Lambda(1810)~,anti-Lambda(1810)0
Lambda(1810),Lambda(1810)0
pi(1300)0,pi(2S)0
rho(1450)0,rho(2S)0
pi(1300)-,pi(2S)-
pi(1300)+,pi(2S)+
rho(1450)+,rho(2S)+
rho(1450)-,rho(2S)-
eta(1295),eta(2S)
K*(1410)0,K'*0
K*(1410)~0,anti-K'*0
K*(1410)+,K'*+
K*(1410)-,K'*-
eta(1475),eta(1475)
phi(1680),phi(1680)
eta(c)(2S),eta_c(2S)
psi(2S),psi(2S)
chi(c2)(3930),chi_c2(2P)
Upsilon(2S),Upsilon(2S)
chi(b2)(2P),chi_b2(2P)
Xi(1950)-,Xi(1950)-
Xi(1950)~+,anti-Xi(1950)+
Xi(1950)0,Xi(1950)0
Xi(1950)~0,anti-Xi(1950)0
Lambda(c)(2625)~-,anti-Lambda_c(2625)-
Lambda(c)(2625)+,Lambda_c(2625)+
Xi(c)(2815)0,Xi_c(2815)0
Xi(c)(2815)~0,anti-Xi_c(2815)0
Xi(c)(2790)0,Xi_c(2790)0
Xi(c)(2790)~0,anti-Xi_c(2790)0
Xi(c)(2815)~-,anti-Xi_c(2815)-
Xi(c)(2815)+,Xi_c(2815)+
Xi(c)(2790)~-,anti-Xi_c(2790)-
Xi(c)(2790)+,Xi_c(2790)+
chi(b0)(2P),chi_b0(2P)
chi(b1)(2P),chi_b1(2P)
Upsilon(3S),Upsilon(3S)
Xi(1690)~+,anti-Xi(1690)+
Xi(1690)-,Xi(1690)-
Xi(2030)-,Xi(2030)-
Xi(2030)~+,anti-Xi(2030)+
Xi(1690)0,Xi(1690)0
Xi(1690)~0,anti-Xi(1690)0
Xi(2030)~0,anti-Xi(2030)0
Xi(2030)0,Xi(2030)0
Omega(2250)~+,anti-Omega(2250)+
Omega(2250)-,Omega(2250)-
Lambda(c)(2880)~-,anti-Lambda_c(2880)-
Lambda(c)(2880)+,Lambda_c(2880)+
Upsilon(4S),Upsilon(4S)
omega(1420),omega(2S)
a(0)(980)0,a_00
pi(1)(1400),pi_1(1400)0
a(0)(980)+,a_0+
a(0)(980)-,a_0-
pi(1)(1400)-,pi_1(1400)-
pi(1)(1400)+,pi_1(1400)+
f(0)(500),sigma_0
psi(4040),psi(4040)
Upsilon(10860),Upsilon(5S)
pi(1800)0,pi(1800)0
pi(1)(1600),pi_1(1600)0
pi(1800)+,pi(1800)+
pi(1800)-,pi(1800)-
pi(1)(1600)-,pi_1(1600)-
pi(1)(1600)+,pi_1(1600)+
f(0)(980),f_0
psi(4160),psi(4160)
Upsilon(11020),Upsilon(11020)
eta(1405),eta(1405)
psi(4415),psi(4415)
f(0)(1500),f_0(1500)
f(2)(1950),f_2(1950)
f(2)(2010),f_2(2010)
f(2)(2300),f_2(2300)
f(2)(2340),f_2(2340)
